user_id,age,gender,country,education_level,hours_spent_weekly,preferred_device,course_completed,satisfaction_rating,login_frequency,quiz_score_avg
user_0045,37,Other,Australia,High School,15.1,Desktop,Yes,3,5,81.8
user_0046,45,Other,Australia,Other,13.0,Tablet,Yes,1,3,73.6
user_0047,24,Male,USA,Master,11.4,Tablet,No,5,11,63.2
user_0048,25,Female,UK,PhD,14.1,Mobile,Yes,5,1,65.2
user_0049,52,Male,Canada,PhD,3.7,Mobile,Yes,2,2,73.7
user_0050,31,Male,India,PhD,12.3,Mobile,No,3,8,40.4
user_0051,34,Female,Australia,PhD,4.3,Tablet,No,3,1,44.7
user_0052,53,Female,Canada,PhD,18.6,Tablet,No,1,7,92.9
user_0053,57,Female,UK,Other,2.3,Tablet,Yes,2,14,44.7
user_0054,21,Other,India,Master,9.2,Mobile,No,1,14,82.4
user_0055,19,Male,India,PhD,14.2,Desktop,No,4,5,95.2
user_0056,23,Male,Australia,Bachelor,9.7,Tablet,Yes,5,3,56.2
user_0057,59,Other,USA,Bachelor,2.7,Desktop,Yes,1,12,62.2
user_0058,21,Female,UK,Master,11.5,Desktop,No,5,12,74.1
user_0059,46,Other,Australia,High School,13.2,Desktop,Yes,2,11,92.9
user_0060,35,Other,UK,High School,14.4,Mobile,No,4,7,96.5
user_0061,43,Other,USA,High School,8.1,Desktop,No,2,9,84.4
user_0062,51,Male,USA,Bachelor,11.7,Tablet,Yes,4,2,45.2
user_0063,27,Other,Australia,High School,9.6,Mobile,No,4,8,80.1
user_0064,53,Male,USA,Other,13.8,Tablet,Yes,5,9,64.6
user_0065,31,Male,Canada,PhD,12.1,Tablet,Yes,2,11,68.2
user_0066,48,Male,India,Bachelor,11.0,Mobile,Yes,2,3,42.9
user_0067,32,Female,Australia,Master,5.7,Tablet,No,1,2,51.5
user_0068,25,Male,UK,Master,1.0,Tablet,Yes,2,7,87.4
user_0069,31,Male,Canada,PhD,4.3,Mobile,Yes,1,5,67.2
user_0070,40,Female,Australia,Bachelor,3.2,Tablet,No,3,5,58.1
user_0071,57,Male,USA,High School,9.5,Desktop,No,3,10,63.0
user_0072,38,Other,USA,High School,12.6,Tablet,No,3,5,91.3
user_0073,33,Other,USA,Other,5.0,Desktop,No,2,4,84.9
user_0074,35,Male,USA,Other,18.8,Tablet,Yes,2,13,56.3
user_0075,41,Female,UK,High School,1.1,Mobile,Yes,1,5,47.1
user_0076,43,Other,Canada,Master,15.7,Mobile,Yes,4,13,55.1
user_0077,42,Female,India,Master,12.9,Tablet,No,1,4,95.2
user_0078,58,Female,UK,Other,8.1,Mobile,No,3,13,74.9
user_0079,46,Other,UK,PhD,2.0,Tablet,Yes,1,6,72.0
user_0080,32,Female,India,High School,12.9,Mobile,No,4,4,75.8
user_0081,18,Other,India,Other,8.3,Desktop,No,2,2,62.0
user_0082,42,Female,USA,Other,18.8,Tablet,Yes,1,9,88.4
user_0083,24,Other,UK,High School,11.3,Desktop,Yes,3,2,71.4
user_0084,26,Male,Australia,High School,18.9,Desktop,No,3,9,47.0
user_0085,41,Other,India,Master,5.2,Tablet,No,2,10,47.7
user_0086,18,Other,India,PhD,14.8,Desktop,No,1,6,72.2
user_0087,25,Other,Canada,PhD,12.7,Tablet,Yes,4,9,96.2
user_0088,41,Other,Australia,High School,15.0,Desktop,Yes,2,9,58.5
user_0089,28,Female,Australia,Bachelor,5.1,Tablet,Yes,1,3,92.2
user_0090,34,Male,India,Other,13.6,Tablet,Yes,5,1,85.8
user_0091,25,Other,USA,Other,10.5,Mobile,Yes,3,1,54.9
user_0092,52,Female,Canada,High School,15.1,Tablet,No,4,3,42.2
user_0093,52,Male,Australia,Bachelor,7.2,Tablet,No,4,5,46.1
user_0094,50,Male,India,Master,17.9,Desktop,No,4,13,83.7
user_0095,22,Male,Australia,High School,2.6,Tablet,Yes,3,3,52.0
user_0096,59,Male,Canada,High School,16.3,Mobile,Yes,1,12,62.3
user_0097,56,Other,Canada,Other,17.4,Desktop,Yes,2,9,70.1
user_0098,58,Other,UK,High School,16.5,Desktop,No,1,9,83.5
user_0099,45,Female,India,High School,10.7,Mobile,Yes,2,3,46.8
user_0100,24,Female,Canada,High School,9.3,Desktop,Yes,4,3,64.4
user_0101,26,Female,UK,Other,19.9,Desktop,No,1,12,69.1
user_0102,25,Male,UK,Master,5.4,Desktop,Yes,4,14,72.4
user_0103,29,Male,Australia,Master,11.4,Desktop,No,5,5,89.1
user_0104,51,Other,Australia,High School,13.7,Mobile,Yes,4,2,50.3
user_0105,50,Male,UK,Other,14.3,Mobile,Yes,4,6,88.5
user_0106,40,Male,Australia,Master,4.9,Desktop,No,2,7,81.6
user_0107,41,Male,Canada,Master,13.4,Desktop,No,5,13,73.4
user_0108,54,Female,USA,Master,16.5,Mobile,No,4,9,82.0
user_0109,52,Female,Canada,Other,2.0,Mobile,No,4,6,64.7
user_0110,57,Other,UK,Other,18.3,Mobile,No,5,3,48.3
user_0111,39,Male,UK,High School,1.6,Desktop,No,5,12,79.9
user_0112,44,Male,Canada,PhD,7.8,Desktop,Yes,1,5,71.5
user_0113,52,Other,Australia,Master,1.3,Tablet,Yes,2,4,78.4
user_0114,18,Male,Australia,PhD,2.5,Mobile,No,5,5,60.3
user_0115,52,Male,UK,Other,18.3,Desktop,Yes,5,8,94.4
user_0116,54,Female,India,Other,7.7,Mobile,No,3,8,75.2
user_0117,31,Other,Australia,Other,9.1,Desktop,Yes,5,6,45.1
user_0118,20,Other,Canada,PhD,5.1,Mobile,No,2,1,67.0
user_0119,18,Other,Australia,Other,12.3,Desktop,Yes,4,8,85.4
user_0120,22,Other,Canada,High School,12.3,Tablet,Yes,4,8,87.6
user_0121,43,Female,UK,Other,8.1,Tablet,Yes,4,2,69.7
user_0122,31,Female,Australia,Bachelor,7.3,Mobile,Yes,4,4,93.7
user_0123,56,Male,Canada,PhD,17.8,Desktop,Yes,3,12,56.1
user_0124,44,Male,UK,Bachelor,8.3,Desktop,No,5,2,64.6
user_0125,26,Male,India,Other,10.4,Mobile,No,4,4,93.9
user_0126,32,Male,Canada,High School,6.4,Desktop,No,1,12,93.8
user_0127,32,Female,India,Master,15.9,Mobile,Yes,4,13,81.1
user_0128,43,Other,India,Other,8.6,Desktop,No,5,13,91.5
user_0129,59,Female,USA,High School,10.8,Mobile,Yes,4,10,45.3
user_0130,30,Male,Australia,PhD,5.8,Desktop,Yes,3,7,91.9
user_0131,49,Female,Canada,Bachelor,19.8,Mobile,Yes,2,9,59.2
user_0132,56,Other,India,Bachelor,6.5,Desktop,No,2,14,50.7
user_0133,49,Other,USA,Bachelor,15.6,Tablet,Yes,5,14,54.4
user_0134,21,Female,UK,PhD,9.1,Desktop,No,2,8,65.1
user_0135,47,Female,Canada,High School,4.9,Mobile,No,2,12,55.1
user_0136,54,Female,India,PhD,16.2,Tablet,Yes,1,9,59.2
user_0137,40,Male,Australia,Bachelor,7.3,Desktop,Yes,5,8,48.1
user_0138,56,Female,USA,Other,17.4,Tablet,No,5,2,57.8
user_0139,32,Female,India,Master,18.4,Desktop,No,2,7,74.3
user_0140,46,Female,Australia,PhD,17.3,Tablet,No,2,2,66.5
user_0141,53,Other,India,PhD,1.7,Mobile,No,2,13,60.8
user_0142,30,Other,Canada,High School,16.0,Desktop,No,3,12,84.8
user_0143,49,Male,Canada,High School,8.8,Desktop,No,4,11,93.6
user_0144,24,Male,Canada,PhD,17.6,Mobile,Yes,3,2,85.4
user_0145,39,Other,USA,Bachelor,13.1,Tablet,No,5,4,59.9
user_0146,45,Other,Canada,Master,16.8,Mobile,No,1,1,84.7
user_0147,19,Other,Australia,High School,10.5,Mobile,No,4,5,49.1
user_0148,59,Female,India,Bachelor,11.2,Tablet,No,1,6,47.8
user_0149,23,Female,UK,Other,3.7,Mobile,Yes,5,9,60.7
user_0150,45,Other,Australia,High School,15.9,Desktop,Yes,5,10,88.5
user_0151,45,Female,Australia,Bachelor,9.0,Desktop,No,1,8,54.8
user_0152,37,Female,Canada,Bachelor,10.5,Desktop,No,1,2,43.8
user_0153,47,Male,USA,Master,15.9,Mobile,No,1,1,47.9
user_0154,28,Other,India,Master,12.4,Desktop,Yes,5,2,91.5
user_0155,45,Other,USA,Other,4.8,Desktop,Yes,2,7,78.0
user_0156,42,Female,India,Bachelor,12.2,Desktop,Yes,1,4,55.2
user_0157,56,Other,India,Bachelor,8.7,Desktop,Yes,4,10,73.3
user_0158,50,Male,USA,Master,9.9,Desktop,Yes,5,5,71.7
user_0159,18,Male,Australia,High School,1.5,Desktop,Yes,3,12,79.3
user_0160,44,Male,India,High School,5.0,Mobile,No,3,7,54.0
user_0161,30,Other,USA,PhD,6.3,Desktop,Yes,4,3,91.9
user_0162,58,Other,India,Master,14.5,Desktop,Yes,2,10,58.6
user_0163,20,Other,UK,PhD,1.2,Tablet,No,1,2,81.6
user_0164,56,Other,Australia,Master,8.8,Mobile,Yes,5,13,41.0
user_0165,23,Other,Canada,Other,18.6,Mobile,No,1,7,62.4
user_0166,25,Male,India,Bachelor,3.1,Mobile,Yes,5,5,61.1
user_0167,44,Female,UK,Other,10.8,Mobile,No,3,14,72.6
user_0168,26,Male,Canada,Master,15.9,Desktop,No,1,1,44.4
user_0169,54,Other,Canada,Bachelor,18.9,Desktop,No,4,1,87.4
user_0170,50,Male,India,High School,15.2,Tablet,No,2,9,53.1
user_0171,59,Other,USA,High School,14.7,Tablet,No,4,5,80.6
user_0172,41,Other,India,PhD,16.7,Mobile,Yes,2,1,88.2
user_0173,32,Male,UK,Master,9.5,Tablet,Yes,1,7,73.7
user_0174,49,Other,Canada,Master,16.3,Tablet,No,1,9,84.5
user_0175,49,Female,India,High School,1.2,Mobile,No,2,11,79.7
user_0176,41,Other,USA,Other,18.6,Mobile,No,3,1,61.3
user_0177,58,Female,India,Bachelor,9.4,Tablet,Yes,5,10,88.5
user_0178,29,Female,Australia,Other,11.5,Desktop,No,4,14,57.7
user_0179,56,Other,USA,Other,5.8,Tablet,No,4,13,74.3
user_0180,19,Male,UK,High School,15.1,Tablet,No,4,4,84.7
user_0181,20,Female,Canada,High School,2.5,Desktop,No,1,14,62.7
user_0182,54,Male,India,High School,17.6,Desktop,Yes,4,3,58.2
user_0183,34,Female,USA,PhD,16.7,Mobile,No,5,5,67.6
user_0184,19,Other,Australia,Other,5.1,Mobile,No,5,7,89.1
user_0185,19,Other,USA,Master,16.4,Tablet,Yes,2,8,95.8
user_0186,45,Female,Australia,Bachelor,15.9,Desktop,No,1,13,72.7
user_0187,40,Other,UK,PhD,13.0,Mobile,No,5,2,79.7
user_0188,54,Female,Canada,Master,8.1,Tablet,Yes,3,7,94.2
user_0189,49,Other,UK,Other,6.2,Desktop,Yes,1,14,45.9
user_0190,50,Male,India,High School,5.4,Tablet,Yes,1,14,53.9
user_0191,18,Other,USA,Other,7.1,Mobile,No,5,1,82.5
user_0192,36,Male,Australia,Bachelor,18.2,Mobile,No,3,7,89.4
user_0193,19,Other,Australia,PhD,2.5,Desktop,Yes,2,8,91.4
user_0194,43,Male,USA,PhD,16.7,Tablet,Yes,5,2,64.9
user_0195,49,Other,USA,Bachelor,7.6,Desktop,Yes,3,9,45.4
user_0196,23,Male,India,Master,10.9,Mobile,No,1,1,66.3
user_0197,49,Female,UK,Master,16.1,Mobile,No,3,13,53.8
user_0198,21,Female,Australia,PhD,17.8,Tablet,Yes,1,6,57.5
user_0199,28,Male,India,PhD,7.6,Tablet,No,5,1,86.3
user_0200,34,Other,UK,High School,9.8,Tablet,Yes,5,3,44.5
user_0201,55,Male,India,Master,8.9,Desktop,No,4,11,89.7
user_0202,41,Other,Australia,Bachelor,1.3,Tablet,No,4,6,65.7
user_0203,22,Female,USA,Master,6.6,Tablet,No,4,3,75.8
user_0204,51,Other,USA,High School,9.7,Mobile,No,5,8,45.4
user_0205,23,Female,UK,PhD,8.8,Mobile,Yes,2,5,60.2
user_0206,39,Other,Canada,PhD,14.7,Tablet,No,5,2,45.4
user_0207,28,Other,UK,High School,8.3,Tablet,No,3,4,97.7
user_0208,33,Other,Canada,Bachelor,10.3,Mobile,Yes,5,9,88.4
user_0209,50,Male,India,PhD,9.2,Tablet,No,5,4,67.6
user_0210,26,Male,India,Other,15.1,Desktop,Yes,1,10,53.4
user_0211,23,Female,Australia,PhD,17.4,Desktop,Yes,1,10,96.0
user_0212,33,Female,Canada,Other,11.1,Desktop,No,1,8,60.7
user_0213,46,Male,Australia,High School,16.0,Tablet,No,5,5,49.7
user_0214,20,Female,USA,High School,6.6,Mobile,Yes,2,11,73.8
user_0215,37,Male,Canada,PhD,11.3,Tablet,Yes,3,11,96.6
user_0216,53,Other,UK,Master,7.6,Tablet,Yes,3,10,40.2
user_0217,36,Female,USA,Other,8.9,Mobile,No,2,13,54.3
user_0218,43,Female,USA,Bachelor,14.9,Mobile,Yes,2,13,96.3
user_0219,20,Male,UK,PhD,17.8,Mobile,Yes,3,14,50.3
user_0220,36,Female,USA,Bachelor,3.3,Desktop,Yes,4,1,46.8
user_0221,37,Female,Canada,PhD,13.1,Tablet,No,1,7,74.2
user_0222,49,Other,Australia,Master,12.1,Mobile,Yes,1,3,91.7
user_0223,24,Female,USA,Master,3.2,Tablet,No,3,10,68.6
user_0224,58,Other,Canada,Master,5.0,Desktop,No,2,8,99.7
user_0225,50,Male,India,Master,6.9,Desktop,Yes,4,14,80.8
user_0226,57,Female,Canada,High School,4.2,Mobile,No,3,12,44.4
user_0227,56,Other,Australia,High School,5.6,Mobile,Yes,1,3,99.6
user_0228,35,Male,Canada,Other,6.1,Tablet,No,5,1,64.5
user_0229,57,Female,UK,Bachelor,7.4,Mobile,No,2,5,57.2
user_0230,18,Male,Australia,PhD,15.2,Tablet,Yes,5,2,73.5
user_0231,28,Female,India,PhD,11.9,Mobile,Yes,3,11,58.3
user_0232,45,Male,UK,High School,19.7,Tablet,Yes,1,4,45.2
user_0233,42,Male,Canada,PhD,8.9,Tablet,No,4,1,40.1
user_0234,40,Other,Australia,High School,15.3,Tablet,No,5,9,67.0
user_0235,48,Male,India,Other,17.6,Tablet,Yes,4,6,90.2
user_0236,47,Female,UK,Bachelor,13.9,Desktop,Yes,1,8,74.3
user_0237,59,Female,India,Other,8.8,Tablet,No,5,11,100.0
user_0238,52,Other,Canada,Master,15.3,Mobile,No,4,4,57.2
user_0239,24,Female,India,Master,4.9,Desktop,No,4,9,56.8
user_0240,33,Female,USA,Master,7.2,Desktop,Yes,5,2,49.6
user_0241,43,Female,UK,Other,11.4,Tablet,No,1,9,49.8
user_0242,19,Male,India,PhD,11.9,Desktop,Yes,4,12,57.1
user_0243,18,Male,Canada,Bachelor,1.4,Tablet,No,3,5,87.6
user_0244,29,Female,Canada,Master,19.0,Mobile,No,5,13,94.3
user_0245,22,Other,India,Master,14.2,Tablet,Yes,2,6,98.5
user_0246,54,Male,Canada,Master,10.4,Desktop,Yes,2,3,53.9
user_0247,49,Other,Australia,Bachelor,18.7,Mobile,Yes,1,4,92.9
user_0248,26,Female,Australia,Master,9.3,Tablet,No,3,6,59.7
user_0249,58,Female,Australia,Bachelor,19.6,Mobile,No,4,7,46.8
user_0250,52,Male,USA,Master,10.7,Mobile,No,2,1,92.2
user_0251,36,Female,India,Other,3.2,Desktop,Yes,1,7,78.2
user_0252,33,Male,USA,Other,15.5,Mobile,No,3,1,49.9
user_0253,20,Female,Canada,Bachelor,13.9,Desktop,Yes,3,5,65.8
user_0254,37,Female,USA,Other,15.7,Mobile,Yes,1,6,57.2
user_0255,41,Male,Canada,Bachelor,19.1,Tablet,Yes,1,13,84.2
user_0256,50,Male,Canada,Other,15.8,Mobile,No,4,2,67.2
user_0257,41,Male,UK,Other,12.6,Tablet,No,1,13,99.4
user_0258,28,Female,Australia,Bachelor,17.3,Tablet,Yes,4,10,43.3
user_0259,25,Female,Canada,PhD,13.8,Mobile,No,4,9,61.3
user_0260,53,Other,UK,Other,8.8,Tablet,Yes,5,14,68.9
user_0261,55,Male,Australia,Master,17.8,Mobile,Yes,3,10,70.2
user_0262,57,Female,Canada,PhD,5.2,Mobile,No,3,6,59.0
user_0263,37,Female,Canada,Bachelor,14.6,Tablet,Yes,3,7,83.8
user_0264,52,Male,USA,PhD,17.7,Tablet,Yes,5,14,92.5
user_0265,42,Other,USA,High School,14.9,Desktop,No,4,10,96.3
user_0266,52,Male,Australia,High School,14.2,Tablet,Yes,4,8,88.3
user_0267,42,Other,Canada,Other,15.3,Desktop,Yes,1,11,91.0
user_0268,46,Female,India,Other,9.8,Tablet,Yes,5,13,73.0
user_0269,35,Other,USA,Master,17.6,Mobile,Yes,1,10,89.6
user_0270,35,Female,Australia,PhD,4.9,Tablet,Yes,5,1,58.2
user_0271,19,Male,Canada,High School,3.4,Mobile,Yes,1,14,63.9
user_0272,52,Male,Canada,Other,6.4,Mobile,Yes,2,8,59.0
user_0273,33,Male,India,PhD,11.1,Mobile,No,3,4,68.0
user_0274,58,Other,Australia,Other,10.7,Desktop,No,3,10,57.1
user_0275,53,Female,Canada,Other,16.6,Tablet,Yes,4,8,97.7
user_0276,50,Male,USA,High School,8.7,Mobile,Yes,2,13,58.8
user_0277,21,Male,India,High School,10.2,Mobile,No,3,6,45.9
user_0278,50,Female,Australia,Other,1.3,Desktop,No,4,11,71.6
user_0279,31,Male,India,Bachelor,8.8,Tablet,No,2,9,43.4
user_0280,38,Female,USA,Other,13.3,Tablet,No,3,11,46.6
user_0281,37,Female,Australia,Other,1.3,Desktop,No,1,4,53.2
user_0282,25,Female,India,Master,6.3,Desktop,Yes,5,2,67.9
user_0283,24,Female,UK,Master,5.0,Tablet,No,2,14,66.0
user_0284,20,Female,USA,Master,1.8,Desktop,No,4,2,88.0
user_0285,34,Other,USA,Bachelor,10.1,Tablet,No,2,5,84.4
user_0286,50,Male,USA,Bachelor,4.5,Tablet,Yes,4,10,65.6
user_0287,29,Other,UK,Other,15.1,Mobile,Yes,2,9,60.0
user_0288,39,Male,UK,Master,17.1,Mobile,Yes,4,12,59.0
user_0289,39,Other,Canada,Bachelor,11.4,Tablet,Yes,3,3,86.4
user_0290,47,Female,India,High School,19.7,Tablet,Yes,1,8,43.1
user_0291,55,Male,Canada,Other,9.6,Tablet,Yes,3,4,40.8
user_0292,55,Male,India,PhD,10.8,Tablet,No,1,6,87.7
user_0293,25,Other,UK,Other,19.8,Tablet,Yes,3,10,68.6
user_0294,44,Other,UK,PhD,5.4,Tablet,Yes,3,6,47.9
user_0295,44,Male,Canada,Master,18.9,Desktop,No,2,3,54.1
user_0296,51,Other,Australia,PhD,1.8,Tablet,Yes,5,14,96.0
user_0297,38,Other,Canada,Master,9.5,Desktop,No,4,5,91.6
user_0298,47,Other,India,High School,2.3,Desktop,No,4,12,82.6
user_0299,50,Female,Canada,PhD,14.9,Tablet,Yes,4,3,68.9
user_0300,45,Female,USA,Other,12.6,Tablet,No,1,11,71.2
user_0301,50,Other,India,Master,14.4,Desktop,No,4,11,98.5
user_0302,22,Other,India,Other,8.1,Desktop,No,4,1,97.9
user_0303,36,Female,Australia,Bachelor,8.0,Tablet,No,2,7,52.9
user_0304,21,Female,UK,Master,1.9,Tablet,Yes,3,4,88.7
user_0305,52,Male,India,PhD,7.6,Desktop,No,4,14,51.8
user_0306,34,Male,UK,Master,18.7,Desktop,Yes,5,7,52.8
user_0307,45,Female,Canada,Other,8.2,Desktop,No,4,3,80.6
user_0308,47,Other,USA,High School,16.8,Mobile,No,1,12,64.3
user_0309,46,Other,Australia,Master,17.0,Desktop,No,1,11,95.9
user_0310,23,Other,UK,PhD,8.1,Mobile,Yes,1,5,45.3
user_0311,52,Other,India,Bachelor,13.0,Tablet,Yes,4,5,70.7
user_0312,58,Male,UK,High School,2.8,Tablet,Yes,2,13,95.1
user_0313,54,Female,India,Bachelor,3.0,Desktop,No,5,2,94.2
user_0314,41,Other,UK,Master,1.9,Tablet,No,4,11,49.4
user_0315,46,Male,India,Other,12.0,Tablet,No,2,10,62.0
user_0316,48,Other,Canada,Other,9.1,Tablet,No,2,12,77.1
user_0317,52,Female,India,PhD,11.4,Tablet,Yes,4,2,49.6
user_0318,50,Male,India,Other,10.9,Mobile,No,4,4,98.1
user_0319,38,Female,USA,High School,7.7,Mobile,Yes,2,4,94.9
user_0320,49,Female,India,Other,13.9,Desktop,No,2,4,50.0
user_0321,40,Male,USA,PhD,15.4,Desktop,Yes,2,6,47.3
user_0322,50,Male,Australia,Master,1.3,Desktop,Yes,4,2,45.1
user_0323,20,Male,USA,Master,4.9,Tablet,No,2,6,94.6
user_0324,35,Male,Canada,Other,14.6,Tablet,No,1,7,51.6
user_0325,42,Male,USA,Bachelor,8.3,Mobile,Yes,4,11,65.0
user_0326,59,Male,Australia,Master,13.6,Mobile,No,1,10,66.9
user_0327,48,Male,Canada,Other,7.6,Desktop,No,3,3,75.9
user_0328,20,Other,UK,PhD,8.4,Mobile,Yes,4,11,44.3
user_0329,57,Female,UK,Other,4.0,Mobile,Yes,3,12,53.6
user_0330,41,Male,USA,Master,5.9,Mobile,Yes,2,8,95.9
user_0331,49,Other,USA,PhD,12.5,Mobile,Yes,2,2,94.5
user_0332,39,Other,Australia,Other,9.2,Mobile,No,5,11,86.9
user_0333,40,Other,Australia,High School,15.7,Desktop,Yes,2,8,41.2
user_0334,19,Female,India,PhD,17.2,Desktop,Yes,3,13,59.6
user_0335,44,Male,Australia,High School,11.3,Mobile,Yes,2,11,77.7
user_0336,59,Other,India,Bachelor,15.4,Desktop,No,4,5,56.5
user_0337,19,Female,Canada,PhD,6.8,Tablet,Yes,2,2,94.6
user_0338,43,Female,USA,High School,8.9,Mobile,No,5,7,78.0
user_0339,34,Female,Canada,Master,14.5,Tablet,Yes,2,14,44.3
user_0340,57,Other,Australia,Master,8.3,Desktop,Yes,3,2,94.5
user_0341,50,Male,Canada,Bachelor,12.2,Desktop,No,3,14,97.5
user_0342,26,Other,Canada,PhD,4.5,Tablet,Yes,2,6,44.7
user_0343,56,Other,Canada,PhD,12.4,Desktop,Yes,3,10,71.9
user_0344,46,Male,Australia,PhD,17.4,Mobile,No,3,3,58.2
user_0345,59,Male,Canada,Bachelor,17.5,Tablet,Yes,5,9,63.6
user_0346,43,Male,India,PhD,14.8,Mobile,Yes,4,3,50.8
user_0347,52,Female,Australia,Master,15.2,Tablet,Yes,5,11,74.7
user_0348,42,Male,Canada,High School,11.6,Desktop,Yes,1,12,97.5
user_0349,41,Other,Australia,Master,12.1,Tablet,No,5,12,70.2
user_0350,30,Male,UK,Master,3.5,Tablet,Yes,2,3,45.0
user_0351,24,Other,India,High School,9.4,Mobile,No,4,5,77.2
user_0352,53,Female,Canada,Master,9.6,Desktop,Yes,2,7,60.4
user_0353,37,Other,UK,Bachelor,19.2,Mobile,No,1,14,91.4
user_0354,18,Other,UK,High School,9.2,Desktop,Yes,4,8,66.1
user_0355,25,Male,Australia,Master,11.4,Mobile,No,3,12,51.6
user_0356,33,Male,UK,Other,11.1,Tablet,Yes,5,11,51.5
user_0357,31,Other,India,Master,13.1,Mobile,No,2,7,86.1
user_0358,29,Male,India,Bachelor,15.2,Desktop,No,1,9,55.9
user_0359,40,Female,USA,PhD,5.3,Desktop,Yes,3,5,86.0
user_0360,32,Female,India,Master,11.0,Tablet,No,5,10,52.4
user_0361,45,Male,UK,PhD,16.7,Desktop,Yes,3,11,59.3
user_0362,51,Female,India,Other,9.8,Mobile,Yes,5,3,67.9
user_0363,19,Male,Australia,Master,6.3,Tablet,Yes,4,6,96.6
user_0364,49,Other,USA,High School,13.4,Desktop,Yes,3,5,95.9
user_0365,40,Other,UK,PhD,16.7,Desktop,Yes,3,12,52.4
user_0366,39,Female,USA,Other,2.2,Mobile,No,3,4,61.5
user_0367,42,Male,UK,High School,15.8,Mobile,Yes,4,12,49.0
user_0368,39,Male,Australia,High School,16.6,Tablet,Yes,1,2,70.6
user_0369,39,Female,USA,High School,9.8,Desktop,Yes,5,7,67.6
user_0370,59,Other,Canada,High School,19.7,Mobile,Yes,3,13,94.0
user_0371,23,Female,UK,Master,15.9,Tablet,Yes,4,5,95.8
user_0372,32,Other,Canada,Master,15.7,Desktop,Yes,1,4,63.0
user_0373,54,Male,USA,Master,15.2,Desktop,No,5,12,69.5
user_0374,50,Other,Canada,Other,3.9,Tablet,No,4,14,93.8
user_0375,25,Female,Canada,Other,5.1,Tablet,Yes,5,8,88.4
user_0376,22,Male,USA,Other,9.8,Mobile,No,3,9,40.2
